train dataset: size=96000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=5500
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/1000, train: loss=0.0459, val: psnr=29.4410, 4.8m 4.8m/79.7h
epoch 2/1000, train: loss=0.0195, val: psnr=31.2511, 4.2m 9.0m/75.1h
epoch 3/1000, train: loss=0.0152, val: psnr=32.8669, 4.2m 13.2m/73.4h
epoch 4/1000, train: loss=0.0130, val: psnr=33.3644, 4.2m 17.4m/72.7h
epoch 5/1000, train: loss=0.0117, val: psnr=33.7327, 4.2m 21.6m/72.1h
epoch 6/1000, train: loss=0.0109, val: psnr=34.6901, 4.2m 25.9m/71.9h
epoch 7/1000, train: loss=0.0102, val: psnr=35.0240, 4.2m 30.1m/71.7h
epoch 8/1000, train: loss=0.0097, val: psnr=35.0815, 4.2m 34.3m/71.5h
epoch 9/1000, train: loss=0.0092, val: psnr=35.4209, 4.3m 38.6m/71.6h
epoch 10/1000, train: loss=0.0089, val: psnr=35.4913, 5.1m 43.8m/73.0h
epoch 11/1000, train: loss=0.0086, val: psnr=35.8717, 4.9m 48.7m/73.8h
epoch 12/1000, train: loss=0.0084, val: psnr=35.9542, 4.2m 52.9m/73.5h
epoch 13/1000, train: loss=0.0081, val: psnr=36.4548, 4.2m 57.2m/73.3h
epoch 14/1000, train: loss=0.0079, val: psnr=36.4803, 4.3m 1.0h/73.1h
epoch 15/1000, train: loss=0.0076, val: psnr=36.6504, 4.2m 1.1h/72.9h
epoch 16/1000, train: loss=0.0075, val: psnr=36.7683, 4.2m 1.2h/72.7h
epoch 17/1000, train: loss=0.0074, val: psnr=36.6857, 4.2m 1.2h/72.6h
epoch 18/1000, train: loss=0.0072, val: psnr=36.9497, 4.2m 1.3h/72.5h
epoch 19/1000, train: loss=0.0071, val: psnr=37.1900, 4.3m 1.4h/72.4h
epoch 20/1000, train: loss=0.0070, val: psnr=37.1006, 4.4m 1.4h/72.4h
epoch 21/1000, train: loss=0.0069, val: psnr=37.4582, 4.2m 1.5h/72.3h
epoch 22/1000, train: loss=0.0067, val: psnr=37.6801, 4.2m 1.6h/72.3h
epoch 23/1000, train: loss=0.0067, val: psnr=37.4442, 4.2m 1.7h/72.2h
epoch 24/1000, train: loss=0.0065, val: psnr=37.7492, 4.2m 1.7h/72.1h
epoch 25/1000, train: loss=0.0065, val: psnr=37.9946, 4.2m 1.8h/72.0h
epoch 26/1000, train: loss=0.0063, val: psnr=37.6958, 4.2m 1.9h/72.0h
